N°,NIE,G1-LEG1,G1-LEG2,G1-LEG3,G1-LEG4,G1-LEG5,G1-LEG6,G2-LEG7,G2-LEG8,G2-LEG9,G2-LEG10,G2-LEG11,G2-LEG12,G3-LEG13,G3-LEG14,G3-LEG15,G3-LEG16,G3-LEG17,G3-LEG18,G4-LEG19,G4-LEG20,G4-LEG21,G4-LEG22,G4-LEG23,G4-LEG24
58,6652747,B,D,B,A,C,B,B,A,A,B,A,D,B,C,B,D,A,C,D,A,B,B,D,A
59,10236610,C,B,D,A,A,D,B,C,A,D,B,C,A,C,A,C,B,C,D,C,B,C,A,D
60,20020978,B,A,A,D,A,C,B,A,B,A,A,D,C,B,B,A,D,C,A,B,B,C,A,B
61,20242023,A,B,D,B,B,C,A,A,D,D,B,D,C,B,D,A,D,B,A,D,D,D,A,A
62,19844883,D,C,B,A,D,B,B,D,B,B,A,A,A,A,A,A,B,B,A,B,C,C,C,B
63,6728377,C,A,C,C,A,C,C,D,C,B,C,C,A,A,A,A,A,A,A,D,D,A,C,C
64,19927823,C,B,B,A,A,A,B,B,A,A,A,A,A,C,A,B,A,A,A,A,A,B,A,A
65,20051853,C,B,A,C,C,D,D,C,A,B,C,B,B,C,B,C,D,C,B,B,C,C,D,B
66,20088633,C,D,A,B,A,B,B,D,A,C,B,C,D,D,A,B,B,B,B,B,B,A,D,C
67,20183680,A,C,C,A,C,B,A,B,B,D,D,D,B,D,B,A,A,B,B,A,A,D,B,C
68,20116464,D,D,B,D,D,B,A,D,B,A,D,A,A,A,B,A,B,B,A,D,D,A,C,B
69,4211322,D,C,C,A,D,C,A,B,C,B,C,C,D,B,D,A,C,A,D,B,C,A,A,B
70,20116472,C,A,B,A,D,B,A,D,B,B,B,A,D,A,D,A,B,B,A,B,D,C,C,B
71,19880778,A,A,A,B,A,A,B,A,A,A,A,A,B,A,A,A,A,C,C,A,A,A,A,A
72,20116467,B,B,C,C,C,C,B,C,A,C,C,C,C,A,B,B,B,C,B,B,C,B,D,C
73,20113901,A,C,A,D,B,D,C,C,D,D,A,C,C,C,A,A,B,C,D,D,A,D,D,A
75,19980868,D,D,B,B,D,B,A,D,B,A,D,A,A,A,B,A,B,B,A,D,D,A,C,B
76,19854630,C,C,B,D,C,B,B,B,A,B,A,C,D,A,A,B,D,C,C,B,B,A,C,C
77,6728135,D,A,B,C,A,A,D,B,A,B,D,A,A,D,B,D,B,B,C,C,A,D,C,A
78,19854724,B,B,A,A,B,C,A,D,A,C,C,A,C,B,B,C,C,A,B,C,A,B,C,B
79,10225714,C,C,B,A,A,B,A,D,C,D,A,A,D,C,B,A,B,B,A,B,A,C,C,B
82,3168401,C,B,C,A,B,B,C,C,C,D,C,B,B,B,D,C,B,B,A,B,B,C,D,A
83,20005752,A,B,C,C,B,C,A,B,A,D,A,A,A,A,A,A,B,A,D,A,A,A,C,A
84,20005700,A,D,B,D,A,D,D,D,C,B,C,D,A,C,D,A,D,A,B,D,D,A,B,B
85,10221767,B,A,B,D,A,D,A,D,B,B,B,A,A,D,D,A,B,B,D,B,D,C,B,A
86,7092393,B,B,B,B,A,A,B,A,B,A,A,A,A,B,B,A,A,A,B,A,B,B,A,A
87,19864500,C,D,D,B,C,D,A,B,C,A,D,C,D,A,D,D,B,A,D,D,C,A,B,B
88,19981525,A,A,C,C,A,A,A,A,C,B,A,D,D,B,B,A,B,C,C,A,A,C,D,D
89,19883271,A,B,A,A,D,C,A,D,B,B,D,A,D,D,D,D,B,B,A,B,A,C,C,B
90,20109593,B,B,C,A,C,C,A,C,A,B,A,C,A,C,C,B,C,C,C,D,D,C,D,C
91,19894428,A,B,C,A,A,A,A,B,B,B,A,C,,,,,,,,,,,,
93,7092132,B,A,B,A,B,C,B,C,B,B,A,B,D,B,A,C,A,B,A,A,B,A,A,B
94,19864564,B,B,A,A,C,C,B,A,A,A,B,A,A,C,C,A,C,A,B,B,A,C,A,C
95,5583881,A,B,A,A,B,C,A,B,A,A,A,C,A,A,A,D,A,C,D,C,A,D,A,C
96,7362859,C,D,D,B,C,B,C,B,D,B,A,B,B,B,C,B,C,D,C,D,B,A,C,C
97,10269737,D,C,B,A,D,B,A,D,B,B,D,B,D,C,B,A,B,B,A,B,D,C,C,B
98,19932852,D,C,B,A,D,B,A,D,A,B,D,B,D,C,B,A,B,B,A,B,D,C,C,B
99,19985426,D,C,B,A,C,A,A,D,B,B,A,B,D,C,B,A,B,B,A,B,D,C,C,B
100,19981267,D,C,B,A,D,B,A,B,B,A,D,A,D,C,B,A,B,B,A,B,D,C,C,B
101,20360464,D,C,B,A,D,B,A,D,B,B,D,B,D,B,B,A,B,B,A,B,D,C,C,B
102,3853050,D,C,B,A,A,B,A,D,B,B,D,B,D,C,B,A,B,B,A,B,D,C,C,B
103,20029687,B,A,A,C,C,C,B,C,A,B,C,C,D,A,C,C,A,C,C,D,C,C,B,C
105,2727110,B,B,B,B,B,C,B,B,B,B,B,B,C,B,B,B,C,C,C,B,B,B,B,C
106,10274178,D,C,B,A,D,B,A,B,B,A,D,A,D,C,B,A,B,B,A,B,D,C,C,A
107,20010222,C,A,A,A,B,B,B,A,A,B,A,A,B,C,B,A,A,A,A,B,A,B,A,A
108,20010223,B,B,A,B,C,A,D,B,D,D,C,A,A,B,A,B,C,A,D,B,C,B,D,B
109,20010227,B,C,D,C,D,C,D,C,A,B,B,D,C,D,C,C,D,A,D,C,C,B,B,B
110,20236108,C,A,C,A,D,B,A,B,B,D,D,A,C,C,B,A,B,C,A,B,D,C,C,A
111,20010232,C,C,D,C,B,D,D,D,C,D,C,D,D,C,C,D,D,A,A,D,B,D,B,A
113,20016138,D,B,B,A,D,B,A,B,C,A,D,B,A,B,D,B,B,B,C,B,A,D,B,A
114,20109548,B,A,B,A,D,B,A,C,B,D,A,C,A,A,B,A,B,A,A,A,A,A,D,D
115,19981340,C,B,A,A,C,B,A,B,D,A,C,D,D,A,B,A,C,B,B,A,D,D,D,D
116,4699655,A,A,C,D,B,A,A,D,D,B,A,D,A,D,C,B,D,A,B,B,A,A,C,B
117,20045304,B,B,D,B,C,B,B,D,D,D,A,B,B,B,B,A,A,A,A,D,C,D,A,D
118,19800228,C,B,C,D,D,D,A,C,C,B,D,C,C,B,B,B,D,C,B,D,D,C,A,D
119,20134207,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,B,B,B,B,B
120,3167650,C,A,C,D,A,B,A,C,B,C,D,D,C,A,C,B,A,C,A,C,D,A,A,C
121,19845850,C,C,B,A,D,D,A,D,C,C,D,A,A,C,D,D,B,A,D,B,A,C,A,A
124,20141756,A,A,D,A,C,A,A,C,A,D,C,C,A,B,C,A,A,B,A,C,A,A,D,A
125,4473216,A,B,D,C,B,A,C,A,A,B,D,C,D,A,A,A,D,B,B,B,A,A,D,C
126,10274540,D,B,D,C,A,A,D,B,B,A,A,C,B,B,C,D,C,B,C,B,C,C,B,C
127,20132206,C,B,B,A,A,B,A,B,B,B,D,A,D,C,B,A,B,B,A,B,A,C,C,B
128,19800268,D,C,B,A,B,D,D,B,C,A,D,A,A,D,D,D,D,A,C,A,B,A,C,B
130,20162412,A,C,C,A,D,D,A,B,B,D,D,A,D,B,B,A,B,B,C,A,D,C,C,D
131,3168633,D,B,B,C,D,D,B,D,B,D,C,C,D,A,D,A,A,B,D,D,A,C,D,A
132,20164653,D,B,D,A,C,B,A,B,D,D,C,B,D,D,D,A,A,A,D,C,A,A,B,C
133,20162405,D,C,B,C,D,B,A,D,B,B,C,A,D,B,B,A,B,B,A,B,D,C,C,A
134,19877076,D,B,B,A,C,B,C,D,B,C,B,B,C,C,A,C,A,B,D,A,C,D,B,C
135,20032389,D,A,D,C,A,B,B,B,B,A,D,A,A,B,B,B,B,B,C,C,D,C,C,B
136,19830378,C,B,C,C,C,B,C,D,C,B,D,B,D,A,C,C,C,C,B,B,A,D,A,C
137,19835445,B,B,B,B,B,C,A,A,B,B,B,B,C,B,B,B,C,A,C,C,C,C,D,B
138,5868584,B,A,C,C,B,D,B,C,C,B,C,C,B,B,B,C,C,C,B,B,C,C,A,B
139,19968045,D,C,C,A,D,A,D,D,C,D,D,A,D,D,B,C,C,B,C,B,D,D,D,D
140,19833093,B,B,B,B,B,A,C,B,B,A,B,B,C,B,C,C,C,B,B,B,B,B,B,B
141,20128385,A,C,B,A,D,B,A,D,D,B,D,D,D,C,B,C,B,B,A,C,D,C,C,B
142,19988975,D,A,B,A,D,B,A,B,B,A,D,A,D,B,B,A,B,B,D,B,A,C,C,B
143,20409991,B,B,B,B,D,D,A,C,D,A,D,A,D,A,B,A,C,C,A,D,C,C,C,B
144,19977673,D,D,B,A,A,B,A,D,B,B,D,A,D,D,B,A,B,B,A,B,D,C,C,B
145,5826112,D,C,B,A,A,B,A,A,B,B,D,A,D,C,B,A,B,B,A,B,A,C,C,A
